,Name,Confirmed,Per Million,Changes Today,Percentage Day Change,Critical,Deceased,Per Million.1,Changes Today.1,Percentage Death Change,Tests,Active,Recovered,Per Million.2,Population,mortality,recovery
0,TOTAL,346000,Unknown,0,0%,431,11689,Unknown,0,0%,11027292,56146,278178,Unknown,Unknown,3.378323699421965,80.39826589595376
1,★  Alberta,49536,Unknown,0,0%,Unknown,492,Unknown,0,0%,Unknown,Unknown,35695,Unknown,Unknown,0.9932170542635659,72.05870478036175
2,★  British Columbia,28348,Unknown,0,0%,Unknown,358,Unknown,0,0%,Unknown,Unknown,19605,Unknown,Unknown,1.2628756878792156,69.15831804712855
3,★  Manitoba,14558,Unknown,0,0%,Unknown,248,Unknown,0,0%,Unknown,Unknown,5633,Unknown,Unknown,1.7035307047671384,38.693501854650364
4,★  New Brunswick,450,Unknown,0,0%,Unknown,7,Unknown,0,0%,Unknown,Unknown,350,Unknown,Unknown,1.5555555555555556,77.77777777777777
5,★  Newfoundland and Labrador,323,Unknown,0,0%,Unknown,4,Unknown,0,0%,Unknown,Unknown,295,Unknown,Unknown,1.238390092879257,91.3312693498452
6,★  Northwest Territories,15,Unknown,0,0%,Unknown,0,Unknown,0,0%,Unknown,Unknown,15,Unknown,Unknown,0.0,100.0
7,★  Nova Scotia,1227,Unknown,0,0%,Unknown,65,Unknown,0,0%,Unknown,Unknown,1075,Unknown,Unknown,5.297473512632437,87.6120619396903
8,★  Nunavut,144,Unknown,0,0%,Unknown,0,Unknown,0,0%,Unknown,Unknown,2,Unknown,Unknown,0.0,1.3888888888888888
9,★  Ontario,110066,Unknown,0,0%,Unknown,3576,Unknown,0,0%,Unknown,Unknown,94861,Unknown,Unknown,3.248959715080043,86.18556139043847
10,★  Prince Edward Island,69,Unknown,0,0%,Unknown,0,Unknown,0,0%,Unknown,Unknown,68,Unknown,Unknown,0.0,98.55072463768116
11,★  Quebec,134330,Unknown,0,0%,Unknown,6887,Unknown,0,0%,Unknown,Unknown,116624,Unknown,Unknown,5.126926226457233,86.8190277674384
12,★  Repatriated Travellers,13,Unknown,0,0%,Unknown,0,Unknown,0,0%,Unknown,Unknown,13,Unknown,Unknown,0.0,100.0
13,★  Saskatchewan,6883,Unknown,0,0%,Unknown,37,Unknown,0,0%,Unknown,Unknown,3919,Unknown,Unknown,0.5375562981258172,56.93738195554264
14,★  Yukon,38,Unknown,0,0%,Unknown,1,Unknown,0,0%,Unknown,Unknown,23,Unknown,Unknown,2.6315789473684212,60.526315789473685
