dates,Total_cases
2020-01-22,555.0
2020-01-23,654.0
2020-01-24,941.0
2020-01-25,1434.0
2020-01-26,2118.0
2020-01-27,2927.0
2020-01-28,5578.0
2020-01-29,6167.0
2020-01-30,8235.0
2020-01-31,9927.0
2020-02-01,12038.0
2020-02-02,16787.0
2020-02-03,19887.0
2020-02-04,23898.0
2020-02-05,27643.0
2020-02-06,30803.0
2020-02-07,34396.0
2020-02-08,37130.0
2020-02-09,40160.0
2020-02-10,42769.0
2020-02-11,44811.0
2020-02-12,45229.0
2020-02-13,60382.0
2020-02-14,66909.0
2020-02-15,69051.0
2020-02-16,71235.0
2020-02-17,73270.0
2020-02-18,75152.0
2020-02-19,75652.0
2020-02-20,76212.0
2020-02-21,76841.0
2020-02-22,78602.0
2020-02-23,78982.0
2020-02-24,79546.0
2020-02-25,80399.0
2020-02-26,81376.0
2020-02-27,82736.0
2020-02-28,84121.0
2020-02-29,86014.0
2020-03-01,88397.0
2020-03-02,90375.0
2020-03-03,92959.0
2020-03-04,95276.0
2020-03-05,98040.0
2020-03-06,102040.0
2020-03-07,106102.0
2020-03-08,110062.0
2020-03-09,114025.0
2020-03-10,119036.0
2020-03-11,126717.0
2020-03-12,132506.0
2020-03-13,146887.0
2020-03-14,157965.0
2020-03-15,169258.0
2020-03-16,184002.0
2020-03-17,199933.0
2020-03-18,219466.0
2020-03-19,246622.0
2020-03-20,277257.0
2020-03-21,309226.0
2020-03-22,343487.0
2020-03-23,386866.0
2020-03-24,428373.0
2020-03-25,479398.0
2020-03-26,542071.0
2020-03-27,607102.0
2020-03-28,674494.0
2020-03-29,733841.0
2020-03-30,799151.0
2020-03-31,875928.0
2020-04-01,952518.0
2020-04-02,1033847.0
2020-04-03,1117073.0
2020-04-04,1197444.0
2020-04-05,1269433.0
2020-04-06,1342654.0
2020-04-07,1420406.0
2020-04-08,1504616.0
2020-04-09,1591030.0
2020-04-10,1678519.0
2020-04-11,1754685.0
2020-04-12,1850006.0
2020-04-13,1920169.0
2020-04-14,1991488.0
2020-04-15,2073518.0
2020-04-16,2170317.0
2020-04-17,2257993.0
2020-04-18,2331463.0
2020-04-19,2411443.0
2020-04-20,2485944.0
2020-04-21,2561845.0
2020-04-22,2639881.0
2020-04-23,2727877.0
2020-04-24,2812249.0
2020-04-25,2895701.0
2020-04-26,2967636.0
2020-04-27,3037354.0
2020-04-28,3112833.0
2020-04-29,3190288.0
2020-04-30,3273674.0
2020-05-01,3360911.0
2020-05-02,3440893.0
2020-05-03,3517407.0
2020-05-04,3594487.0
2020-05-05,3674966.0
2020-05-06,3764866.0
2020-05-07,3853887.0
2020-05-08,3945034.0
2020-05-09,4029948.0
2020-05-10,4105178.0
2020-05-11,4182075.0
2020-05-12,4266337.0
2020-05-13,4351181.0
2020-05-14,4447797.0
2020-05-15,4544182.0
2020-05-16,4638407.0
2020-05-17,4716032.0
2020-05-18,4804738.0
2020-05-19,4901982.0
2020-05-20,5004350.0
2020-05-21,5111155.0
2020-05-22,5217120.0
2020-05-23,5321713.0
2020-05-24,5416111.0
2020-05-25,5502536.0
2020-05-26,5595775.0
2020-05-27,5698778.0
2020-05-28,5818280.0
2020-05-29,5939226.0
2020-05-30,6076216.0
2020-05-31,6182737.0
2020-06-01,6277895.0
2020-06-02,6399352.0
2020-06-03,6517555.0
2020-06-04,6644487.0
2020-06-05,6775570.0
2020-06-06,6910031.0
2020-06-07,7021876.0
2020-06-08,7124371.0
2020-06-09,7249121.0
2020-06-10,7383821.0
2020-06-11,7521848.0
2020-06-12,7650495.0
2020-06-13,7785959.0
2020-06-14,7918363.0
2020-06-15,8037712.0
2020-06-16,8179510.0
2020-06-17,8322662.0
2020-06-18,8462740.0
2020-06-19,8642310.0
2020-06-20,8799299.0
2020-06-21,8927506.0
2020-06-22,9065633.0
2020-06-23,9231445.0
2020-06-24,9402382.0
2020-06-25,9580562.0
2020-06-26,9772031.0
2020-06-27,9949617.0
2020-06-28,10112567.0
2020-06-29,10268168.0
2020-06-30,10442242.0
2020-07-01,10659654.0
2020-07-02,10868268.0
2020-07-03,11070283.0
2020-07-04,11264003.0
2020-07-05,11446596.0
2020-07-06,11611757.0
2020-07-07,11823330.0
2020-07-08,12036294.0
2020-07-09,12263701.0
2020-07-10,12496158.0
2020-07-11,12712445.0
2020-07-12,12905274.0
2020-07-13,13096904.0
2020-07-14,13318693.0
2020-07-15,13549927.0
2020-07-16,13802335.0
2020-07-17,14044251.0
2020-07-18,14280857.0
2020-07-19,14494483.0
2020-07-20,14700686.0
2020-07-21,14934114.0
2020-07-22,15215565.0
2020-07-23,15498103.0
2020-07-24,15778784.0
2020-07-25,16033403.0
2020-07-26,16246636.0
2020-07-27,16472296.0
2020-07-28,16724733.0
2020-07-29,17014951.0
2020-07-30,17295151.0
2020-07-31,17586232.0
2020-08-01,17836822.0
2020-08-02,18064208.0
2020-08-03,18265467.0
2020-08-04,18523956.0
2020-08-05,18797027.0
2020-08-06,19081745.0
2020-08-07,19362805.0
2020-08-08,19620999.0
2020-08-09,19844872.0
2020-08-10,20071179.0
2020-08-11,20326294.0
2020-08-12,20604159.0
2020-08-13,20890120.0
2020-08-14,21194748.0
2020-08-15,21441963.0
2020-08-16,21653787.0
2020-08-17,21864416.0
2020-08-18,22120469.0
2020-08-19,22395099.0
2020-08-20,22662438.0
2020-08-21,22932328.0
2020-08-22,23197063.0
2020-08-23,23402719.0
2020-08-24,23627760.0
2020-08-25,23871497.0
2020-08-26,24160926.0
2020-08-27,24439419.0
2020-08-28,24721815.0
2020-08-29,24982139.0
2020-08-30,25207961.0
2020-08-31,25471181.0
2020-09-01,25734627.0
2020-09-02,26017788.0
2020-09-03,26298587.0
2020-09-04,26611448.0
2020-09-05,26873829.0
2020-09-06,27096335.0
2020-09-07,27329623.0
2020-09-08,27571192.0
2020-09-09,27855918.0
2020-09-10,28154919.0
2020-09-11,28474744.0
2020-09-12,28751941.0
2020-09-13,28987746.0
2020-09-14,29267418.0
2020-09-15,29551476.0
2020-09-16,29856310.0
2020-09-17,30170279.0
2020-09-18,30493785.0
2020-09-19,30773352.0
2020-09-20,31016379.0
2020-09-21,31314834.0
2020-09-22,31594602.0
2020-09-23,31861824.0
2020-09-24,32224421.0
2020-09-25,32552288.0
2020-09-26,32829197.0
2020-09-27,33070312.0
2020-09-28,33346336.0
2020-09-29,33631070.0
2020-09-30,33957884.0
2020-10-01,34275807.0
2020-10-02,34571172.0
2020-10-03,34889804.0
2020-10-04,35138269.0
2020-10-05,35467660.0
2020-10-06,35793012.0
2020-10-07,36142566.0
2020-10-08,36504174.0
2020-10-09,36863620.0
2020-10-10,37193872.0
2020-10-11,37463568.0
2020-10-12,37788829.0
2020-10-13,38117691.0
2020-10-14,38498286.0
2020-10-15,38905694.0
2020-10-16,39316324.0
2020-10-17,39657368.0
