,Name,Confirmed,Per Million,Changes Today,Percentage Day Change,Critical,Deceased,Per Million.1,Changes Today.1,Percentage Death Change,Tests,Active,Recovered,Per Million.2,Population,mortality,recovery
0,TOTAL,60649357,7786,553912,0.92%,103594,1425006,183,11142,0.79%,973759372,17660840,41393796.0,5314,7789595020,2.3495813813821638,68.2510055300339
171,★  United States,13104592,39498,147533,1.14%,23734,267924,808,2005,0.75%,185704305,5121937,7714731.0,23253,331780397,2.044504704915651,58.87044022431221
172,★  India,9266697,6689,44699,0.48%,8944,135261,98,518,0.38%,134841307,453450,8677986.0,6264,1385419430,1.4596463011577911,93.64702439283383
173,★  Brazil,6166606,28929,45157,0.74%,8318,170769,801,590,0.35%,21900000,519819,5476018.0,25689,213164112,2.769254270501472,88.80116550335792
57,★  France,2170097,33217,16282,0.76%,4148,50618,775,381,0.76%,20098815,1962927,156552.0,2396,65331590,2.3325224632815953,7.214055408583119
174,★  Russia,2162503,14816,23675,1.11%,2300,37538,257,507,1.37%,73700000,464546,1660419.0,11376,145959667,1.7358588635483974,76.78227498412718
175,★  Spain,1605066,34324,8506,0.53%,2838,44037,942,369,0.85%,21917246,1410653,150376.0,3216,46762073,2.7436254957740056,9.368835923257985
176,★  United Kingdom,1557007,22887,18213,1.18%,1489,56533,831,696,1.25%,41858783,Unknown,,Unknown,68028987,3.6308764186673534,
177,★  Italy,1480874,24507,25853,1.78%,3848,52028,861,722,1.41%,20956187,791697,637149.0,10544,60425953,3.513330641229436,43.02519998325313
7,★  Argentina,1381795,30462,0,0%,4148,37432,825,0,0%,3712880,133729,1210634.0,26689,45361407,2.708940182878068,87.61314087835026
178,★  Colombia,1270991,24873,8497,0.67%,2376,35860,702,183,0.51%,6186303,60172,1174959.0,22994,51099166,2.82142045065622,92.44432100620696
179,★  Mexico,1060152,8188,10794,1.03%,2852,102739,794,813,0.8%,2742996,165897,791516.0,6113,129473032,9.690968842203759,74.66061470430655
180,★  Germany,983731,11726,20825,2.16%,3781,15381,183,416,2.78%,26456866,311950,656400.0,7824,83891567,1.5635371864869563,66.7255581048071
181,★  Peru,954459,28788,2020,0.21%,985,35727,1078,42,0.12%,4982778,33985,884747.0,26686,33154396,3.743167595465075,92.69617657751668
123,★  Poland,924422,24436,15362,1.69%,2073,14988,396,674,4.71%,6053471,439907,469527.0,12412,37829891,1.6213374411253734,50.791413445374516
74,★  Iran,894385,10594,13843,1.57%,5832,46207,547,469,1.03%,5913229,222572,625606.0,7411,84420722,5.166343353253912,69.94817668006507
143,★  South Africa,775502,13010,3250,0.42%,546,21201,356,118,0.56%,5355068,37857,716444.0,12020,59606287,2.733842079066205,92.3845457522998
182,★  Ukraine,661858,15171,13882,2.14%,177,11492,263,229,2.03%,4243600,342588,307778.0,7055,43627308,1.7363241057749548,46.5021197900456
183,★  Belgium,561803,48390,1901,0.34%,1106,15938,1373,183,1.16%,5720922,509296,36569.0,3150,11609863,2.836937503003722,6.509221203873956
184,★  Chile,544092,28365,1005,0.19%,540,15138,789,7,0.05%,5138616,8774,520180.0,27118,19181775,2.7822500606515073,95.60515501054968
75,★  Iraq,542187,13362,2438,0.45%,354,12086,298,55,0.46%,3347344,58047,472054.0,11633,40577952,2.2291202112924138,87.06479498770719
73,★  Indonesia,511836,1863,5534,1.09%,Unknown,16225,59,114,0.71%,5465921,65804,429807.0,1565,274677118,3.169960690533687,83.97357747403466
42,★  Czechia,505215,47142,2681,0.53%,839,7611,710,112,1.49%,2976646,79947,417657.0,38972,10716973,1.5064873370743148,82.66916065437486
185,★  Netherlands,498653,29076,4909,0.99%,548,9109,531,74,0.82%,3893908,Unknown,,Unknown,17150117,1.8267211868774478,
