dates,Total_cases
2020-01-22,555.0
2020-01-23,654.0
2020-01-24,941.0
2020-01-25,1434.0
2020-01-26,2118.0
2020-01-27,2927.0
2020-01-28,5578.0
2020-01-29,6167.0
2020-01-30,8235.0
2020-01-31,9927.0
2020-02-01,12038.0
2020-02-02,16787.0
2020-02-03,19887.0
2020-02-04,23898.0
2020-02-05,27643.0
2020-02-06,30803.0
2020-02-07,34396.0
2020-02-08,37130.0
2020-02-09,40160.0
2020-02-10,42769.0
2020-02-11,44811.0
2020-02-12,45229.0
2020-02-13,60382.0
2020-02-14,66909.0
2020-02-15,69051.0
2020-02-16,71235.0
2020-02-17,73270.0
2020-02-18,75152.0
2020-02-19,75652.0
2020-02-20,76212.0
2020-02-21,76841.0
2020-02-22,78602.0
2020-02-23,78982.0
2020-02-24,79546.0
2020-02-25,80399.0
2020-02-26,81376.0
2020-02-27,82736.0
2020-02-28,84123.0
2020-02-29,86013.0
2020-03-01,88394.0
2020-03-02,90377.0
2020-03-03,92971.0
2020-03-04,95279.0
2020-03-05,98090.0
2020-03-06,102003.0
2020-03-07,106098.0
2020-03-08,110047.0
2020-03-09,114219.0
2020-03-10,119041.0
2020-03-11,126702.0
2020-03-12,132492.0
2020-03-13,146879.0
2020-03-14,157952.0
2020-03-15,169222.0
2020-03-16,184032.0
2020-03-17,199976.0
2020-03-18,219535.0
2020-03-19,246584.0
2020-03-20,277361.0
2020-03-21,309363.0
2020-03-22,344194.0
2020-03-23,387045.0
2020-03-24,428205.0
2020-03-25,479223.0
2020-03-26,542053.0
2020-03-27,607114.0
2020-03-28,674360.0
2020-03-29,733612.0
2020-03-30,798890.0
2020-03-31,875739.0
2020-04-01,958601.0
2020-04-02,1041662.0
2020-04-03,1125086.0
2020-04-04,1183501.0
2020-04-05,1256089.0
2020-04-06,1329228.0
2020-04-07,1399055.0
2020-04-08,1482433.0
2020-04-09,1569454.0
2020-04-10,1654968.0
2020-04-11,1729309.0
2020-04-12,1849041.0
2020-04-13,1919797.0
2020-04-14,2003732.0
2020-04-15,2080830.0
2020-04-16,2176408.0
2020-04-17,2264120.0
2020-04-18,2341473.0
2020-04-19,2418166.0
2020-04-20,2494115.0
2020-04-21,2569728.0
2020-04-22,2650749.0
2020-04-23,2735103.0
2020-04-24,2819191.0
2020-04-25,2901458.0
2020-04-26,2973163.0
2020-04-27,3043202.0
2020-04-28,3118508.0
2020-04-29,3195544.0
2020-04-30,3279073.0
2020-05-01,3367339.0
2020-05-02,3446630.0
2020-05-03,3523175.0
2020-05-04,3600779.0
2020-05-05,3681127.0
2020-05-06,3771007.0
2020-05-07,3859785.0
2020-05-08,3950120.0
2020-05-09,4034910.0
2020-05-10,4110202.0
2020-05-11,4187133.0
2020-05-12,4271251.0
2020-05-13,4356139.0
2020-05-14,4452527.0
2020-05-15,4548277.0
2020-05-16,4643002.0
2020-05-17,4720844.0
2020-05-18,4809885.0
2020-05-19,4906666.0
2020-05-20,5008397.0
2020-05-21,5114997.0
2020-05-22,5221533.0
2020-05-23,5326614.0
2020-05-24,5420782.0
2020-05-25,5507621.0
2020-05-26,5601251.0
2020-05-27,5704043.0
2020-05-28,5822948.0
2020-05-29,5944039.0
2020-05-30,6080995.0
2020-05-31,6187617.0
2020-06-01,6283302.0
2020-06-02,6404720.0
2020-06-03,6519015.0
2020-06-04,6649743.0
2020-06-05,6781099.0
2020-06-06,6915223.0
2020-06-07,7027195.0
2020-06-08,7129785.0
2020-06-09,7254563.0
2020-06-10,7389458.0
2020-06-11,7527334.0
2020-06-12,7655982.0
2020-06-13,7791149.0
2020-06-14,7923625.0
2020-06-15,8043069.0
2020-06-16,8184990.0
2020-06-17,8328152.0
2020-06-18,8468486.0
2020-06-19,8648275.0
2020-06-20,8804913.0
2020-06-21,8932952.0
2020-06-22,9071294.0
2020-06-23,9237176.0
2020-06-24,9408237.0
2020-06-25,9586818.0
2020-06-26,9778118.0
2020-06-27,9955755.0
2020-06-28,10119217.0
2020-06-29,10273694.0
2020-06-30,10447667.0
2020-07-01,10665134.0
2020-07-02,10874057.0
2020-07-03,11075680.0
2020-07-04,11269688.0
2020-07-05,11452930.0
2020-07-06,11617428.0
2020-07-07,11828845.0
2020-07-08,12042625.0
2020-07-09,12269629.0
2020-07-10,12502211.0
2020-07-11,12719735.0
2020-07-12,12912321.0
2020-07-13,13103178.0
2020-07-14,13324911.0
2020-07-15,13556384.0
2020-07-16,13808502.0
2020-07-17,14050878.0
2020-07-18,14287228.0
2020-07-19,14500967.0
2020-07-20,14707359.0
2020-07-21,14940469.0
2020-07-22,15221747.0
2020-07-23,15504677.0
2020-07-24,15785888.0
2020-07-25,16040277.0
2020-07-26,16253250.0
2020-07-27,16479069.0
2020-07-28,16731027.0
2020-07-29,17022514.0
2020-07-30,17302946.0
2020-07-31,17593931.0
2020-08-01,17842857.0
2020-08-02,18074408.0
2020-08-03,18280103.0
2020-08-04,18536427.0
2020-08-05,18812950.0
2020-08-06,19098152.0
2020-08-07,19379581.0
2020-08-08,19638069.0
2020-08-09,19863462.0
2020-08-10,20090473.0
2020-08-11,20346972.0
2020-08-12,20624230.0
2020-08-13,20913936.0
2020-08-14,21216955.0
2020-08-15,21464275.0
2020-08-16,21680469.0
2020-08-17,21888348.0
2020-08-18,22146490.0
2020-08-19,22426342.0
2020-08-20,22698858.0
2020-08-21,22959904.0
2020-08-22,23224361.0
2020-08-23,23430769.0
2020-08-24,23655997.0
2020-08-25,23899722.0
2020-08-26,24183850.0
2020-08-27,24467592.0
2020-08-28,24751260.0
2020-08-29,25017791.0
2020-08-30,25239068.0
2020-08-31,25501715.0
2020-09-01,25766467.0
2020-09-02,26049992.0
2020-09-03,26331039.0
2020-09-04,26644864.0
2020-09-05,26914845.0
2020-09-06,27145595.0
2020-09-07,27363369.0
2020-09-08,27605220.0
2020-09-09,27889943.0
2020-09-10,28189890.0
2020-09-11,28510977.0
2020-09-12,28797456.0
2020-09-13,29040262.0
2020-09-14,29303533.0
2020-09-15,29588876.0
2020-09-16,29892950.0
2020-09-17,30207772.0
2020-09-18,30533416.0
2020-09-19,30825596.0
2020-09-20,31077672.0
2020-09-21,31353490.0
2020-09-22,31637545.0
2020-09-23,31912900.0
2020-09-24,32265204.0
2020-09-25,32595593.0
2020-09-26,32883719.0
2020-09-27,33135284.0
2020-09-28,33389254.0
2020-09-29,33671083.0
2020-09-30,33999210.0
2020-10-01,34317276.0
2020-10-02,34614672.0
2020-10-03,34946710.0
2020-10-04,35208617.0
2020-10-05,35509247.0
2020-10-06,35835120.0
2020-10-07,36185785.0
2020-10-08,36547071.0
2020-10-09,36907485.0
2020-10-10,37264050.0
2020-10-11,37551609.0
2020-10-12,37842739.0
2020-10-13,38161563.0
2020-10-14,38543448.0
2020-10-15,38950083.0
2020-10-16,39361310.0
2020-10-17,39733921.0
