date,iso,country,status,note
2020-02-17 00:00:00+00,CHN,China,Partially open,
2020-02-17 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-18 00:00:00+00,CHN,China,Partially open,
2020-02-18 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-19 00:00:00+00,CHN,China,Partially open,
2020-02-19 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-20 00:00:00+00,CHN,China,Partially open,
2020-02-20 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-21 00:00:00+00,CHN,China,Closed due to COVID-19,
2020-02-21 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-22 00:00:00+00,CHN,China,Closed due to COVID-19,
2020-02-22 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-23 00:00:00+00,CHN,China,Closed due to COVID-19,
2020-02-23 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-24 00:00:00+00,CHN,China,Closed due to COVID-19,
2020-02-24 00:00:00+00,ITA,Italy,Partially open,
2020-02-24 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-24 00:00:00+00,SMR,San Marino,Closed due to COVID-19,
2020-02-25 00:00:00+00,CHN,China,Closed due to COVID-19,
2020-02-25 00:00:00+00,ITA,Italy,Partially open,
2020-02-25 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-25 00:00:00+00,SMR,San Marino,Closed due to COVID-19,
2020-02-26 00:00:00+00,BHR,Bahrain,Closed due to COVID-19,
2020-02-26 00:00:00+00,CHN,China,Closed due to COVID-19,
2020-02-26 00:00:00+00,IRN,Iran (Islamic Republic of),Closed due to COVID-19,
2020-02-26 00:00:00+00,ITA,Italy,Partially open,
2020-02-26 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-26 00:00:00+00,SMR,San Marino,Closed due to COVID-19,
2020-02-27 00:00:00+00,BHR,Bahrain,Closed due to COVID-19,
2020-02-27 00:00:00+00,CHN,China,Closed due to COVID-19,
2020-02-27 00:00:00+00,IRN,Iran (Islamic Republic of),Closed due to COVID-19,
2020-02-27 00:00:00+00,ITA,Italy,Partially open,
2020-02-27 00:00:00+00,MNG,Mongolia,Closed due to COVID-19,
2020-02-27 00:00:00+00,PAK,Pakistan,Partially open,
2020-02-27 00:00:00+00,SMR,San Marino,Closed due to COVID-19,
2020-02-28 00:00:00+00,BHR,Bahrain,Closed due to COVID-19,
2020-02-28 00:00:00+00,CHN,China,Closed due to COVID-19,
2020-02-28 00:00:00+00,GBR,United Kingdom of Great Britain and Northern Ireland,Partially open,
